cluster1	interaction	cluster2
1.11.0	child	1.11.0.2
1.11.0	child	1.11.0.3
1.11	child	1.11.1
1	child	1.12
1	child	1.13
1.13	child	1.13.0
1.13.0	child	1.13.0.0
1.13.0	child	1.13.0.1
1.13.0	child	1.13.0.2
1.13.0	child	1.13.0.3
1	child	1.14
1	child	1.15
1.15	child	1.15.0
1.15.0	child	1.15.0.0
1.15.0	child	1.15.0.1
1.15.0	child	1.15.0.2
1.15.0	child	1.15.0.3
1.15.0	child	1.15.0.4
1.15.0	child	1.15.0.5
1	child	1.16
1.16	child	1.16.0
1.16.0	child	1.16.0.0
1	child	1.17
1	child	1.18
1.18	child	1.18.0
1.18.0	child	1.18.0.0
1.18.0	child	1.18.0.1
1.18.0	child	1.18.0.2
1.18	child	1.18.1
1	child	1.19
1	child	1.20
1	child	1.21
1.21	child	1.21.0
1.21.0	child	1.21.0.0
1	child	1.22
data	child	2
2	child	2.0
2.0	child	2.0.0
2.0.0	child	2.0.0.0
2.0.0	child	2.0.0.1
2.0.0	child	2.0.0.2
2.0.0	child	2.0.0.3
2.0.0	child	2.0.0.4
2.0.0	child	2.0.0.5
2.0.0	child	2.0.0.6
2.0.0	child	2.0.0.7
2.0.0	child	2.0.0.8
2.0.0	child	2.0.0.9
2.0.0	child	2.0.0.10
2.0.0	child	2.0.0.11
2.0.0	child	2.0.0.12
2.0.0	child	2.0.0.13
2.0.0	child	2.0.0.14
2.0.0	child	2.0.0.15
2.0.0	child	2.0.0.16
2.0.0	child	2.0.0.17
2.0.0	child	2.0.0.18
2.0.0	child	2.0.0.19
2.0.0	child	2.0.0.20
2.0.0	child	2.0.0.21
2.0.0	child	2.0.0.22
2.0.0	child	2.0.0.23
2.0.0	child	2.0.0.24
2.0.0	child	2.0.0.25
2.0.0	child	2.0.0.26
2.0.0	child	2.0.0.27
2.0.0	child	2.0.0.28
2.0.0	child	2.0.0.29
2.0.0	child	2.0.0.30
2.0.0	child	2.0.0.31
2.0.0	child	2.0.0.32
2.0.0	child	2.0.0.33
2.0.0	child	2.0.0.34
2.0.0	child	2.0.0.35
2.0.0	child	2.0.0.36
2.0.0	child	2.0.0.37
2.0.0	child	2.0.0.38
2.0.0	child	2.0.0.39
2.0.0	child	2.0.0.40
2.0.0	child	2.0.0.41
2.0.0	child	2.0.0.42
2.0.0	child	2.0.0.43
2.0.0	child	2.0.0.44
2.0.0	child	2.0.0.45
2.0.0	child	2.0.0.46
2.0.0	child	2.0.0.47
2.0.0	child	2.0.0.48
2.0.0	child	2.0.0.49
2.0.0	child	2.0.0.50
2.0.0	child	2.0.0.51
2.0.0	child	2.0.0.52
2.0.0	child	2.0.0.53
2.0.0	child	2.0.0.54
2.0.0	child	2.0.0.55
