cluster1	interaction	cluster2
3.1.0	child	3.1.0.2
3.1.0	child	3.1.0.3
3.1.0	child	3.1.0.4
3.1.0	child	3.1.0.5
3.1.0	child	3.1.0.6
3.1.0	child	3.1.0.7
3.1.0	child	3.1.0.8
3.1.0	child	3.1.0.9
3.1.0	child	3.1.0.10
3.1.0	child	3.1.0.11
3.1.0	child	3.1.0.12
3.1.0	child	3.1.0.13
3.1.0	child	3.1.0.14
3.1.0	child	3.1.0.15
3.1.0	child	3.1.0.16
3.1.0	child	3.1.0.17
3.1.0	child	3.1.0.18
3.1.0	child	3.1.0.19
3.1.0	child	3.1.0.20
3.1.0	child	3.1.0.21
3.1.0	child	3.1.0.22
3.1.0	child	3.1.0.23
3.1.0	child	3.1.0.24
3.1.0	child	3.1.0.25
3.1.0	child	3.1.0.26
3.1.0	child	3.1.0.27
3.1.0	child	3.1.0.28
3.1.0	child	3.1.0.29
3.1.0	child	3.1.0.30
3.1.0	child	3.1.0.31
3.1.0	child	3.1.0.32
3.1.0	child	3.1.0.33
3.1.0	child	3.1.0.34
3.1.0	child	3.1.0.35
3.1.0	child	3.1.0.36
3.1.0	child	3.1.0.37
3.1.0	child	3.1.0.38
3.1	child	3.1.1
3.1	child	3.1.2
3.1	child	3.1.3
3.1.3	child	3.1.3.0
3.1	child	3.1.4
3.1.4	child	3.1.4.0
3.1	child	3.1.5
3.1	child	3.1.6
3.1.6	child	3.1.6.0
3	child	3.2
3.2	child	3.2.0
3.2.0	child	3.2.0.0
3.2.0	child	3.2.0.1
3.2.0	child	3.2.0.2
3.2.0	child	3.2.0.3
3.2.0	child	3.2.0.4
3.2.0	child	3.2.0.5
3.2.0	child	3.2.0.6
3.2.0	child	3.2.0.7
3.2.0	child	3.2.0.8
3.2.0	child	3.2.0.9
3.2.0	child	3.2.0.10
3.2.0	child	3.2.0.11
3.2.0	child	3.2.0.12
3.2.0	child	3.2.0.13
3.2.0	child	3.2.0.14
3.2.0	child	3.2.0.15
3.2.0	child	3.2.0.16
3.2.0	child	3.2.0.17
3.2.0	child	3.2.0.18
3.2.0	child	3.2.0.19
3.2.0	child	3.2.0.20
3.2.0	child	3.2.0.21
3.2.0	child	3.2.0.22
3.2.0	child	3.2.0.23
3.2.0	child	3.2.0.24
3.2.0	child	3.2.0.25
3.2.0	child	3.2.0.26
3.2.0	child	3.2.0.27
3.2.0	child	3.2.0.28
3.2	child	3.2.1
3.2.1	child	3.2.1.0
3.2	child	3.2.2
3.2	child	3.2.3
3	child	3.3
3.3	child	3.3.0
3.3.0	child	3.3.0.0
3.3.0	child	3.3.0.1
3.3.0	child	3.3.0.2
3.3.0	child	3.3.0.3
3.3.0	child	3.3.0.4
3.3.0	child	3.3.0.5
3.3.0	child	3.3.0.6
3.3.0	child	3.3.0.7
3.3.0	child	3.3.0.8
3.3.0	child	3.3.0.9
3.3.0	child	3.3.0.10
3.3.0	child	3.3.0.11
3.3.0	child	3.3.0.12
3.3.0	child	3.3.0.13
3.3.0	child	3.3.0.14
3	child	3.4
3.4	child	3.4.0
3.4.0	child	3.4.0.0
3.4.0	child	3.4.0.1
3.4.0	child	3.4.0.2
3.4.0	child	3.4.0.3
3.4.0	child	3.4.0.4
3	child	3.5
3.5	child	3.5.0
3.5.0	child	3.5.0.0
3.5.0	child	3.5.0.1
3.5.0	child	3.5.0.2
3.5.0	child	3.5.0.3
3.5.0	child	3.5.0.4
3.5.0	child	3.5.0.5
3.5.0	child	3.5.0.6
3.5.0	child	3.5.0.7
3.5.0	child	3.5.0.8
3.5.0	child	3.5.0.9
3.5.0	child	3.5.0.10
3.5.0	child	3.5.0.11
3.5.0	child	3.5.0.12
3	child	3.6
3.6	child	3.6.0
3.6.0	child	3.6.0.0
3	child	3.7
3.7	child	3.7.0
3.7.0	child	3.7.0.0
3.7.0	child	3.7.0.1
3.7.0	child	3.7.0.2
3	child	3.8
3.8	child	3.8.0
3.8.0	child	3.8.0.0
3	child	3.9
3.9	child	3.9.0
3.9.0	child	3.9.0.0
3.9.0	child	3.9.0.1
3.9.0	child	3.9.0.2
3.9.0	child	3.9.0.3
3.9.0	child	3.9.0.4
3	child	3.10
3.10	child	3.10.0
3.10.0	child	3.10.0.0
3.10.0	child	3.10.0.1
3	child	3.11
3.11	child	3.11.0
3.11.0	child	3.11.0.0
3.11.0	child	3.11.0.1
3.11.0	child	3.11.0.2
3	child	3.12
3.12	child	3.12.0
3.12.0	child	3.12.0.0
3.12.0	child	3.12.0.1
3.12.0	child	3.12.0.2
3	child	3.13
3.13	child	3.13.0
3.13.0	child	3.13.0.0
3.13.0	child	3.13.0.1
3	child	3.14
3.14	child	3.14.0
3.14.0	child	3.14.0.0
3	child	3.15
3.15	child	3.15.0
3.15.0	child	3.15.0.0
3	child	3.16
3.16	child	3.16.0
3.16.0	child	3.16.0.0
3	child	3.17
3.17	child	3.17.0
3.17.0	child	3.17.0.0
3	child	3.18
3.18	child	3.18.0
3.18.0	child	3.18.0.0
3	child	3.19
3.19	child	3.19.0
3.19.0	child	3.19.0.0
3	child	3.20
3.20	child	3.20.0
3.20.0	child	3.20.0.0
3.20.0	child	3.20.0.1
3	child	3.21
3.21	child	3.21.0
3.21.0	child	3.21.0.0
3.21.0	child	3.21.0.1
3	child	3.22
3.22	child	3.22.0
3.22.0	child	3.22.0.0
3	child	3.23
3.23	child	3.23.0
3.23.0	child	3.23.0.0
3.23.0	child	3.23.0.1
3	child	3.24
3.24	child	3.24.0
3.24.0	child	3.24.0.0
3.24.0	child	3.24.0.1
3	child	3.25
3.25	child	3.25.0
3.25.0	child	3.25.0.0
3.25.0	child	3.25.0.1
3	child	3.26
3.26	child	3.26.0
3.26.0	child	3.26.0.0
3	child	3.27
3	child	3.28
3	child	3.29
3	child	3.30
3	child	3.31
3	child	3.32
3	child	3.33
3	child	3.34
data	child	4
4	child	4.0
4.0	child	4.0.0
4.0.0	child	4.0.0.0
4.0.0	child	4.0.0.1
4.0.0	child	4.0.0.2
4.0.0	child	4.0.0.3
4.0.0	child	4.0.0.4
4.0.0	child	4.0.0.5
4.0.0	child	4.0.0.6
4.0.0	child	4.0.0.7
4.0.0	child	4.0.0.8
4.0.0	child	4.0.0.9
4.0.0	child	4.0.0.10
4.0.0	child	4.0.0.11
4.0.0	child	4.0.0.12
4.0.0	child	4.0.0.13
4.0.0	child	4.0.0.14
4.0.0	child	4.0.0.15
4.0.0	child	4.0.0.16
4.0.0	child	4.0.0.17
4.0.0	child	4.0.0.18
4.0.0	child	4.0.0.19
4.0	child	4.0.1
4.0.1	child	4.0.1.0
4.0	child	4.0.2
4.0	child	4.0.3
4.0	child	4.0.4
4.0	child	4.0.5
4.0	child	4.0.6
4.0	child	4.0.7
4.0	child	4.0.8
4.0	child	4.0.9
4.0	child	4.0.10
4.0	child	4.0.11
4	child	4.1
4.1	child	4.1.0
4.1.0	child	4.1.0.0
4.1.0	child	4.1.0.1
4.1.0	child	4.1.0.2
4.1.0	child	4.1.0.3
4	child	4.2
4.2	child	4.2.0
4.2.0	child	4.2.0.0
4.2.0	child	4.2.0.1
4.2.0	child	4.2.0.2
4.2.0	child	4.2.0.3
4	child	4.3
4.3	child	4.3.0
4.3.0	child	4.3.0.0
4	child	4.4
4.4	child	4.4.0
4.4.0	child	4.4.0.0
4.4.0	child	4.4.0.1
4.4.0	child	4.4.0.2
4.4.0	child	4.4.0.3
4	child	4.5
4.5	child	4.5.0
4.5.0	child	4.5.0.0
4.5.0	child	4.5.0.1
4	child	4.6
4.6	child	4.6.0
4.6.0	child	4.6.0.0
4	child	4.7
